doc_id,_itartass1.xhtml
topic,заметка
created,2004.09.18
tegging,manual
title,сергей латышев. открытие паралимпийских игр // «итар-тасс», 2004.09.18
author,латышев сергей
doc_id,_itartass2.xhtml
topic,заметка
created,2004.09.18
tegging,manual
title,андрей бычков. китайский лидер цзян цзэминь уходит в отставку // «итар-тасс», 2004.09.18
author,бычков андрей
doc_id,_itartass3.xhtml
topic,заметка
created,2004.09.18
tegging,manual
title,сергей останин. отмечается 63-я годовщина рождения советской гвардии // «итар-тасс», 2004.09.18
author,останин сергей
doc_id,_itartass4.xhtml
topic,заметка
created,2004.09.17
tegging,manual
title,владимир ходий. программу «аншлаг» и ей подобные на государственном телевидении заменят передачи о культуре и специальный детский канал . // «итар-тасс», 2004.09.17
author,ходий владимир
doc_id,_itartass5.xhtml
topic,заметка
created,2004.09.15
tegging,manual
title,борис зайцев. фифа выиграла судебную тяжбу за свои права в интернете // «итар-тасс», 2004.09.15
author,зайцев борис
doc_id,_rbk2.xhtml
topic,политика и общественная жизнь"
created,4
tegging,manual
title,сейсмологи утверждают, что в кндр произошло 2 взрыва // «рбк», 2004.09.12
author,неизвестный
doc_id,_rbk3.xhtml
topic,бизнес, коммерция, экономика, финансы"
created,4
tegging,manual
title,к 2040 г. экономическая мощь кнр превысит американскую // «рбк», 2004.09.11
author,неизвестный
doc_id,_rbk4.xhtml
topic,политика и общественная жизнь"
created,5
tegging,manual
title,израиль вновь обвинил сирию в пособничестве террористам // «рбк», 2004.09.13
author,неизвестный
doc_id,_rbk6.xhtml
topic,бизнес, коммерция, экономика, финансы"
created,3
tegging,manual
title,к офшорному аутсорсингу готова треть мировых компаний // «рбк», 2004.09.13
author,неизвестный
doc_id,_rbk7.xhtml
topic,криминал"
created,1
tegging,manual
title,в чечне разбился вертолет ми-24, один летчик выжил // «рбк», 2004.09.12
author,неизвестный
doc_id,_rian1.xhtml
topic,заметка
created,2004.09.13
tegging,manual
title,александр смотров. тысячи людей собрались на трафальгарской площади , чтобы увидеть новую версию знаменитого фильма «броненосец потемкин» // «риа «новости», 2004.09.13
author,смотров александр
doc_id,_rian2.xhtml
topic,искусство и культура"
created,2
tegging,manual
title,российская государственная библиотека посвящает свою выставку юбилею алексея суворина // «риа «новости», 2004.09.13
author,неизвестный
doc_id,_rian3.xhtml
topic,криминал"
created,1
tegging,manual
title,виновник дтп спросил у полиции , как скрыться // «риа «новости», 2004.09.10
author,неизвестный
doc_id,_rian5.xhtml
topic,политика и общественная жизнь"
created,2
tegging,manual
title,на полях былых сражений в новгородской области в понедельник возобновятся поисковые работы // «риа «новости», 2004.09.13
author,неизвестный
